"sample","VCFname","condition","Taxa","ID","group","era","Q","orygin","meta"
"2FACC_chilling","2FACC","chilling","2FACC","2FACC","SS","II","SS","US","SS_II_US"
"2FACC_cold","2FACC","cold","2FACC","2FACC","SS","II","SS","US","SS_II_US"
"2FACC_control","2FACC","control","2FACC","2FACC","SS","II","SS","US","SS_II_US"
"78004_chilling","DK78004","chilling","78004","DK78004","SS",NA,"SS","US","SS_NA_US"
"78004_cold","DK78004","cold","78004","DK78004","SS",NA,"SS","US","SS_NA_US"
"78004_control","DK78004","control","78004","DK78004","SS",NA,"SS","US","SS_NA_US"
"78551S_cold","78551S","cold","78551S","78551S","NSS","II","NSS","US","NSS_II_US"
"78551S_control","78551S","control","78551S","78551S","NSS","II","NSS","US","NSS_II_US"
"A239_cold","A239","cold","A239","A239","Broad origin-public","I","NSS","US","NSS_I_US"
"A239_control","A239","control","A239","A239","Broad origin-public","I","NSS","US","NSS_I_US"
"A632_cold","A632","cold","A632","A632","SS","I","SS","US","SS_I_US"
"A634_cold","A634","cold","A634","A634","SS","I","SS","US","SS_I_US"
"A634_control","A634","control","A634","A634","SS","I","SS","US","SS_I_US"
"A635_chilling","A635","chilling","A635","A635","SS","I","SS","US","SS_I_US"
"A635_control","A635","control","A635","A635","SS","I","SS","US","SS_I_US"
"A641_cold","A641","cold","A641","A641","SS",NA,"SS","US","SS_NA_US"
"A659_chilling","A659","chilling","A659","A659","Broad origin-public","I","NSS","US","NSS_I_US"
"A659_cold","A659","cold","A659","A659","Broad origin-public","I","NSS","US","NSS_I_US"
"A659_control","A659","control","A659","A659","Broad origin-public","I","NSS","US","NSS_I_US"
"A661_chilling","A661","chilling","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_chilling_2","A661","chilling","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_cold","A661","cold","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_cold_2","A661","cold","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_control","A661","control","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_control_2","A661","control","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A679_chilling","A679","chilling","A679","A679","SS","I","SS","US","SS_I_US"
"A679_cold","A679","cold","A679","A679","SS","I","SS","US","SS_I_US"
"A679_control","A679","control","A679","A679","SS","I","SS","US","SS_I_US"
"A680_chilling","A680","chilling","A680","A680","SS","I","SS","US","SS_I_US"
"A680_chilling_2","A680","chilling","A680","A680","SS","I","SS","US","SS_I_US"
"A680_cold","A680","cold","A680","A680","SS","I","SS","US","SS_I_US"
"A680_cold_2","A680","cold","A680","A680","SS","I","SS","US","SS_I_US"
"A680_control","A680","control","A680","A680","SS","I","SS","US","SS_I_US"
"B103_cold","B103","cold","B103","B103","NSS",NA,"Iodent","US","Iodent_NA_US"
"B104_chilling","B104","chilling","B104","B104","SS","I","SS","US","SS_I_US"
"B104_cold","B104","cold","B104","B104","SS","I","SS","US","SS_I_US"
"B104_control","B104","control","B104","B104","SS","I","SS","US","SS_I_US"
"B105_chilling","B105","chilling","B105","B105","SS","I","mix",NA,"mix_I_NA"
"B105_cold","B105","cold","B105","B105","SS","I","mix",NA,"mix_I_NA"
"B105_control","B105","control","B105","B105","SS","I","mix",NA,"mix_I_NA"
"B109_chilling","B109","chilling","B109","B109","SS","I","SS","US","SS_I_US"
"B109_cold","B109","cold","B109","B109","SS","I","SS","US","SS_I_US"
"B109_control","B109","control","B109","B109","SS","I","SS","US","SS_I_US"
"B10_chilling","B10","chilling","B10","B10","SS","I","SS","US","SS_I_US"
"B10_cold","B10","cold","B10","B10","SS","I","SS","US","SS_I_US"
"B10_control","B10","control","B10","B10","SS","I","SS","US","SS_I_US"
"B14A_chilling","B14A","chilling","B14A","B14A","SS","I","SS","US","SS_I_US"
"B14A_cold","B14A","cold","B14A","B14A","SS","I","SS","US","SS_I_US"
"B14A_control","B14A","control","B14A","B14A","SS","I","SS","US","SS_I_US"
"B37_chilling","B37","chilling","B37","B37","SS","I","SS","US","SS_I_US"
"B37_control","B37","control","B37","B37","SS","I","SS","US","SS_I_US"
"B46_chilling","B46","chilling","B46","B46","SS","I","NSS","US","NSS_I_US"
"B46_cold","B46","cold","B46","B46","SS","I","NSS","US","NSS_I_US"
"B46_control","B46","control","B46","B46","SS","I","NSS","US","NSS_I_US"
"B57_chilling","B57","chilling","B57","B57","Broad origin-public","I","NSS","US","NSS_I_US"
"B57_cold","B57","cold","B57","B57","Broad origin-public","I","NSS","US","NSS_I_US"
"B57_control","B57","control","B57","B57","Broad origin-public","I","NSS","US","NSS_I_US"
"B64_chilling","B64","chilling","B64","B64","SS","I","SS","US","SS_I_US"
"B64_cold","B64","cold","B64","B64","SS","I","SS","US","SS_I_US"
"B68_chilling","B68","chilling","B68","B68","SS","I","SS","US","SS_I_US"
"B68_cold","B68","cold","B68","B68","SS","I","SS","US","SS_I_US"
"B68_control","B68","control","B68","B68","SS","I","SS","US","SS_I_US"
"B73_chilling","B73","chilling","B73","B73","SS","I","SS","US","SS_I_US"
"B73_cold","B73","cold","B73","B73","SS","I","SS","US","SS_I_US"
"B73_control","B73","control","B73","B73","SS","I","SS","US","SS_I_US"
"B75_chilling","B75","chilling","B75","B75","Mixed","I","NSS","US","NSS_I_US"
"B75_cold","B75","cold","B75","B75","Mixed","I","NSS","US","NSS_I_US"
"B75_control","B75","control","B75","B75","Mixed","I","NSS","US","NSS_I_US"
"B79_chilling","B79","chilling","B79","B79","Mixed","I","NSS","US","NSS_I_US"
"B79_cold","B79","cold","B79","B79","Mixed","I","NSS","US","NSS_I_US"
"B79_control","B79","control","B79","B79","Mixed","I","NSS","US","NSS_I_US"
"B84_cold","B84","cold","B84","B84","SS","I","SS","US","SS_I_US"
"B95_chilling","B95","chilling","B95","B95","Huangzaosi",NA,"NSS","US","NSS_NA_US"
"B95_cold","B95","cold","B95","B95","Huangzaosi",NA,"NSS","US","NSS_NA_US"
"B95_control","B95","control","B95","B95","Huangzaosi",NA,"NSS","US","NSS_NA_US"
"B97_cold","B97","cold","B97","B97","NSS","I","NSS","US","NSS_I_US"
"B97_control","B97","control","B97","B97","NSS","I","NSS","US","NSS_I_US"
"Breslau_II_chilling",NA,"chilling","Breslau_II","BreslauII",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Breslau_II_cold",NA,"cold","Breslau_II","BreslauII",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Breslau_II_control",NA,"control","Breslau_II","BreslauII",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"CH701_30_chilling","CH701-30","chilling","CH701_30","CH70130","Broad origin-public","I","NSS","US","NSS_I_US"
"CH701_30_cold","CH701-30","cold","CH701_30","CH70130","Broad origin-public","I","NSS","US","NSS_I_US"
"CH701_30_control","CH701-30","control","CH701_30","CH70130","Broad origin-public","I","NSS","US","NSS_I_US"
"CM105_chilling","CM105","chilling","CM105","CM105","SS","I","SS","US","SS_I_US"
"CM105_cold","CM105","cold","CM105","CM105","SS","I","SS","US","SS_I_US"
"CM105_control","CM105","control","CM105","CM105","SS","I","SS","US","SS_I_US"
"CM7_chilling","CM7","chilling","CM7","CM7","SS","I","NSS","US","NSS_I_US"
"CM7_cold","CM7","cold","CM7","CM7","SS","I","NSS","US","NSS_I_US"
"CM7_control","CM7","control","CM7","CM7","SS","I","NSS","US","NSS_I_US"
"CML103_chilling",NA,"chilling","CML103","CML103",NA,NA,"Tropical","Mexico","Tropical"
"CML103_cold",NA,"cold","CML103","CML103",NA,NA,"Tropical","Mexico","Tropical"
"CML103_control",NA,"control","CML103","CML103",NA,NA,"Tropical","Mexico","Tropical"
"CML108_chilling","CML_108","chilling","CML108","CML108","Tropical","I","Tropical","Mexico","Tropical"
"CML108_cold","CML_108","cold","CML108","CML108","Tropical","I","Tropical","Mexico","Tropical"
"CML108_control","CML_108","control","CML108","CML108","Tropical","I","Tropical","Mexico","Tropical"
"CML108_control_2","CML_108","control","CML108","CML108","Tropical","I","Tropical","Mexico","Tropical"
"CML10_chilling","CML10","chilling","CML10","CML10","Tropical",NA,"Tropical","Mexico","Tropical"
"CML10_control","CML10","control","CML10","CML10","Tropical",NA,"Tropical","Mexico","Tropical"
"CML11_chilling","CML11","chilling","CML11","CML11","Tropical",NA,"Tropical","Mexico","Tropical"
"CML11_cold","CML11","cold","CML11","CML11","Tropical",NA,"Tropical","Mexico","Tropical"
"CML11_control","CML11","control","CML11","CML11","Tropical",NA,"Tropical","Mexico","Tropical"
"CML14_chilling","CML14","chilling","CML14","CML14","Tropical",NA,"Tropical","Mexico","Tropical"
"CML14_control","CML14","control","CML14","CML14","Tropical",NA,"Tropical","Mexico","Tropical"
"CML157Q_chilling","CML157Q","chilling","CML157Q","CML157Q","Tropical",NA,"Tropical","Mexico","Tropical"
"CML157Q_cold","CML157Q","cold","CML157Q","CML157Q","Tropical",NA,"Tropical","Mexico","Tropical"
"CML157Q_control","CML157Q","control","CML157Q","CML157Q","Tropical",NA,"Tropical","Mexico","Tropical"
"CML158Q_chilling","CML158Q","chilling","CML158Q","CML158Q","Tropical",NA,"Tropical","Mexico","Tropical"
"CML220_chilling","CML_220","chilling","CML220","CML220","Tropical","I","Tropical","Mexico","Tropical"
"CML220_control","CML_220","control","CML220","CML220","Tropical","I","Tropical","Mexico","Tropical"
"CML220_control_2","CML_220","control","CML220","CML220","Tropical","I","Tropical","Mexico","Tropical"
"CML228_chilling","CML_228","chilling","CML228","CML228","Tropical","I","Tropical","Mexico","Tropical"
"CML228_cold","CML_228","cold","CML228","CML228","Tropical","I","Tropical","Mexico","Tropical"
"CML228_control","CML_228","control","CML228","CML228","Tropical","I","Tropical","Mexico","Tropical"
"CML238_chilling","CML238","chilling","CML238","CML238","Tropical",NA,"Tropical","Mexico","Tropical"
"CML238_cold","CML238","cold","CML238","CML238","Tropical",NA,"Tropical","Mexico","Tropical"
"CML238_control","CML238","control","CML238","CML238","Tropical",NA,"Tropical","Mexico","Tropical"
"CML247_chilling","CML_247","chilling","CML247","CML247","Tropical",NA,"Tropical","Mexico","Tropical"
"CML247_cold","CML_247","cold","CML247","CML247","Tropical",NA,"Tropical","Mexico","Tropical"
"CML254_chilling","CML_254","chilling","CML254","CML254","Tropical",NA,"Tropical","Mexico","Tropical"
"CML254_chilling_2","CML_254","chilling","CML254","CML254","Tropical",NA,"Tropical","Mexico","Tropical"
"CML254_cold","CML_254","cold","CML254","CML254","Tropical",NA,"Tropical","Mexico","Tropical"
"CML254_control","CML_254","control","CML254","CML254","Tropical",NA,"Tropical","Mexico","Tropical"
"CML261_chilling","CML261","chilling","CML261","CML261","Tropical",NA,"Tropical","Mexico","Tropical"
"CML261_cold","CML261","cold","CML261","CML261","Tropical",NA,"Tropical","Mexico","Tropical"
"CML261_control","CML261","control","CML261","CML261","Tropical",NA,"Tropical","Mexico","Tropical"
"CML264_chilling","CML_264","chilling","CML264","CML264","Tropical",NA,"Tropical","Mexico","Tropical"
"CML264_cold","CML_264","cold","CML264","CML264","Tropical",NA,"Tropical","Mexico","Tropical"
"CML264_control","CML_264","control","CML264","CML264","Tropical",NA,"Tropical","Mexico","Tropical"
"CML277_chilling","CML_277","chilling","CML277","CML277","Tropical",NA,"Tropical","Mexico","Tropical"
"CML277_cold","CML_277","cold","CML277","CML277","Tropical",NA,"Tropical","Mexico","Tropical"
"CML277_control","CML_277","control","CML277","CML277","Tropical",NA,"Tropical","Mexico","Tropical"
"CML281_chilling","CML281","chilling","CML281","CML281","Tropical",NA,"Tropical","Mexico","Tropical"
"CML281_cold","CML281","cold","CML281","CML281","Tropical",NA,"Tropical","Mexico","Tropical"
"CML281_control","CML281","control","CML281","CML281","Tropical",NA,"Tropical","Mexico","Tropical"
"CML287_chilling","CML_287","chilling","CML287","CML287","Tropical",NA,"Tropical","Mexico","Tropical"
"CML287_cold","CML_287","cold","CML287","CML287","Tropical",NA,"Tropical","Mexico","Tropical"
"CML287_control","CML_287","control","CML287","CML287","Tropical",NA,"Tropical","Mexico","Tropical"
"CML311_chilling","CML311","chilling","CML311","CML311","Tropical",NA,"Tropical","Mexico","Tropical"
"CML314_chilling","CML314","chilling","CML314","CML314","Tropical",NA,"Tropical","Mexico","Tropical"
"CML321_chilling","CML321","chilling","CML321","CML321","Tropical",NA,"Tropical","Mexico","Tropical"
"CML321_cold","CML321","cold","CML321","CML321","Tropical",NA,"Tropical","Mexico","Tropical"
"CML321_control","CML321","control","CML321","CML321","Tropical",NA,"Tropical","Mexico","Tropical"
"CML322_chilling","CML_322","chilling","CML322","CML322","Tropical","I","Tropical","Mexico","Tropical"
"CML322_cold","CML_322","cold","CML322","CML322","Tropical","I","Tropical","Mexico","Tropical"
"CML322_control","CML_322","control","CML322","CML322","Tropical","I","Tropical","Mexico","Tropical"
"CML328_chilling","CML328","chilling","CML328","CML328","Mixed",NA,"Tropical","Mexico","Tropical"
"CML328_cold","CML328","cold","CML328","CML328","Mixed",NA,"Tropical","Mexico","Tropical"
"CML331_chilling","CML331","chilling","CML331","CML331","Tropical",NA,"Tropical","Mexico","Tropical"
"CML331_cold","CML331","cold","CML331","CML331","Tropical",NA,"Tropical","Mexico","Tropical"
"CML331_control","CML331","control","CML331","CML331","Tropical",NA,"Tropical","Mexico","Tropical"
"CML332_chilling","CML332","chilling","CML332","CML332","Tropical",NA,"Tropical","Mexico","Tropical"
"CML332_cold","CML332","cold","CML332","CML332","Tropical",NA,"Tropical","Mexico","Tropical"
"CML332_control","CML332","control","CML332","CML332","Tropical",NA,"Tropical","Mexico","Tropical"
"CML333_cold","CML333","cold","CML333","CML333","Tropical",NA,"Tropical","Mexico","Tropical"
"CML333_control","CML333","control","CML333","CML333","Tropical",NA,"Tropical","Mexico","Tropical"
"CML38_cold","CML38","cold","CML38","CML38","Tropical",NA,"Tropical","Mexico","Tropical"
"CML45_cold","CML45","cold","CML45","CML45","Tropical",NA,"Tropical","Mexico","Tropical"
"CML45_control","CML45","control","CML45","CML45","Tropical",NA,"Tropical","Mexico","Tropical"
"CML52_chilling","CML_52","chilling","CML52","CML52","Tropical",NA,"Tropical","Mexico","Tropical"
"CML52_cold","CML_52","cold","CML52","CML52","Tropical",NA,"Tropical","Mexico","Tropical"
"CML52_control","CML_52","control","CML52","CML52","Tropical",NA,"Tropical","Mexico","Tropical"
"CML69_chilling","CML69","chilling","CML69","CML69","Tropical",NA,"Tropical","Mexico","Tropical"
"CML69_cold","CML69","cold","CML69","CML69","Tropical",NA,"Tropical","Mexico","Tropical"
"CML69_control","CML69","control","CML69","CML69","Tropical",NA,"Tropical","Mexico","Tropical"
"CML91_cold","CML_91","cold","CML91","CML91","Tropical","I","Tropical","Mexico","Tropical"
"CML92_chilling","CML92","chilling","CML92","CML92","Mixed",NA,"Tropical","Mexico","Tropical"
"CML92_cold","CML92","cold","CML92","CML92","Mixed",NA,"Tropical","Mexico","Tropical"
"CML92_control","CML92","control","CML92","CML92","Mixed",NA,"Tropical","Mexico","Tropical"
"CMV3_chilling","CMV3","chilling","CMV3","CMV3","NSS",NA,"NSS","US","NSS_NA_US"
"CMV3_cold","CMV3","cold","CMV3","CMV3","NSS",NA,"NSS","US","NSS_NA_US"
"CMV3_control","CMV3","control","CMV3","CMV3","NSS",NA,"NSS","US","NSS_NA_US"
"CO106_chilling","CO106","chilling","CO106","CO106","Broad origin-public","I","NSS","US","NSS_I_US"
"CO106_cold","CO106","cold","CO106","CO106","Broad origin-public","I","NSS","US","NSS_I_US"
"CO106_control","CO106","control","CO106","CO106","Broad origin-public","I","NSS","US","NSS_I_US"
"CR14_chilling","CR14","chilling","CR14","CR14","SS","II","SS","US","SS_II_US"
"CR14_control","CR14","control","CR14","CR14","SS","II","SS","US","SS_II_US"
"Czechnick_chilling",NA,"chilling","Czechnick","Czechnick",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Czechnick_cold",NA,"cold","Czechnick","Czechnick",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Czechnick_control",NA,"control","Czechnick","Czechnick",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Czerwony_Koral_cold",NA,"cold","Czerwony_Koral","CzerwonyKoral",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Czerwony_Koral_control",NA,"control","Czerwony_Koral","CzerwonyKoral",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"DE811_chilling","DE811","chilling","DE811","DE811","SS","I","SS","US","SS_I_US"
"DE811_control","DE811","control","DE811","DE811","SS","I","SS","US","SS_I_US"
"DJ7_chilling","DJ7","chilling","DJ7","DJ7","SS","II","SS","US","SS_II_US"
"DJ7_cold","DJ7","cold","DJ7","DJ7","SS","II","SS","US","SS_II_US"
"DJ7_control","DJ7","control","DJ7","DJ7","SS","II","SS","US","SS_II_US"
"Dolnoslaska_Kiszonkowa_chilling",NA,"chilling","Dolnoslaska_Kiszonkowa","DolnoslaskaKiszonkowa",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Dolnoslaska_Kiszonkowa_cold",NA,"cold","Dolnoslaska_Kiszonkowa","DolnoslaskaKiszonkowa",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Dolnoslaska_Kiszonkowa_control",NA,"control","Dolnoslaska_Kiszonkowa","DolnoslaskaKiszonkowa",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"E8501_cold","E8501","cold","E8501","E8501","NSS","II","NSS","US","NSS_II_US"
"E8501_control","E8501","control","E8501","E8501","NSS","II","NSS","US","NSS_II_US"
"EP1_chilling","EP1","chilling","EP1","EP1","Sweet corn","","mix",NA,"mix__NA"
"EP1_cold","EP1","cold","EP1","EP1","Sweet corn","","mix",NA,"mix__NA"
"EP1_control","EP1","control","EP1","EP1","Sweet corn","","mix",NA,"mix__NA"
"Egyptska_Ryzova_chilling",NA,"chilling","Egyptska_Ryzova","EgyptskaRyzova",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Egyptska_Ryzova_cold",NA,"cold","Egyptska_Ryzova","EgyptskaRyzova",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"Egyptska_Ryzova_control",NA,"control","Egyptska_Ryzova","EgyptskaRyzova",NA,NA,"Landrace",NA,"Landrace_NA_NA"
"F2834T_control","F2834T","control","F2834T","F2834T","Tropical","","Tropical","Mexico","Tropical"
"F2_chilling","F2","chilling","F2","F2","Sweet corn",NA,"mix",NA,"mix_NA_NA"
"F2_cold","F2","cold","F2","F2","Sweet corn",NA,"mix",NA,"mix_NA_NA"
"F2_control","F2","control","F2","F2","Sweet corn",NA,"mix",NA,"mix_NA_NA"
"F42_cold","F42","cold","F42","F42","SS",NA,"SS","US","SS_NA_US"
"F42_control","F42","control","F42","F42","SS",NA,"SS","US","SS_NA_US"
"F7_chilling","F7","chilling","F7","F7","Sweet corn","","mix",NA,"mix__NA"
"F7_cold","F7","cold","F7","F7","Sweet corn","","mix",NA,"mix__NA"
"F7_control","F7","control","F7","F7","Sweet corn","","mix",NA,"mix__NA"
"FS16094A_chilling","FS16094A","chilling","FS16094A","FS16094A","Polskie","II","NSS","Poland","NSS_II_Poland"
"FS16094A_cold","FS16094A","cold","FS16094A","FS16094A","Polskie","II","NSS","Poland","NSS_II_Poland"
"FS16094A_control","FS16094A","control","FS16094A","FS16094A","Polskie","II","NSS","Poland","NSS_II_Poland"
"GA209_chilling","GA209","chilling","GA209","GA209","NSS",NA,"mix",NA,"mix_NA_NA"
"GA209_cold","GA209","cold","GA209","GA209","NSS",NA,"mix",NA,"mix_NA_NA"
"GA209_control","GA209","control","GA209","GA209","NSS",NA,"mix",NA,"mix_NA_NA"
"GT112_chilling","GT112","chilling","GT112","GT112","NSS",NA,"mix",NA,"mix_NA_NA"
"GT112_cold","GT112","cold","GT112","GT112","NSS",NA,"mix",NA,"mix_NA_NA"
"H114_chilling","H114","chilling","H114","H114","SS","I","SS","US","SS_I_US"
"H114_cold","H114","cold","H114","H114","SS","I","SS","US","SS_I_US"
"H49_chilling","H49","chilling","H49","H49","NSS","I","NSS","US","NSS_I_US"
"H49_cold","H49","cold","H49","H49","NSS","I","NSS","US","NSS_I_US"
"H84_chilling","H84","chilling","H84","H84","SS","I","SS","US","SS_I_US"
"H84_cold","H84","cold","H84","H84","SS","I","SS","US","SS_I_US"
"H84_control","H84","control","H84","H84","SS","I","SS","US","SS_I_US"
"H95_chilling","H95","chilling","H95","H95","NSS","I","NSS","US","NSS_I_US"
"H95_cold","H95","cold","H95","H95","NSS","I","NSS","US","NSS_I_US"
"H95_control","H95","control","H95","H95","NSS","I","NSS","US","NSS_I_US"
"HB8229_chilling","HB8229","chilling","HB8229","HB8229","SS",NA,"SS","US","SS_NA_US"
"HB8229_control","HB8229","control","HB8229","HB8229","SS",NA,"SS","US","SS_NA_US"
"I29_chilling","I29","chilling","I29","I29","Popcorn","","mix",NA,"mix__NA"
"I29_cold","I29","cold","I29","I29","Popcorn","","mix",NA,"mix__NA"
"I29_control","I29","control","I29","I29","Popcorn","","mix",NA,"mix__NA"
"IBB15_chilling","IBB15","chilling","IBB15","IBB15","IDT","II","Iodent","US","Iodent_II_US"
"IBB15_cold","IBB15","cold","IBB15","IBB15","IDT","II","Iodent","US","Iodent_II_US"
"IBB15_control","IBB15","control","IBB15","IBB15","IDT","II","Iodent","US","Iodent_II_US"
"Janetzkis_Gloria_chilling",NA,"chilling","Janetzkis_Gloria","JanetzkisGloria",NA,NA,"Landrace",NA,"Landrace_NA_NA"
