sample;VCFname;co;Taxa;ID;group;era;Q;origin;meta
2FACC_chilling;2FACC;chilling;2FACC;2FACC;SS;II;SS;US;SS_II_US
78004_chilling;DK78004;chilling;78004;DK78004;SS;NA;SS;US;SS_NA_US
78551S_cold;78551S;cold;78551S;78551S;NSS;II;NSS;US;NSS_II_US
A239_cold;A239;cold;A239;A239;Broad origin-public;I;NSS;US;NSS_I_US
A632_cold;A632;cold;A632;A632;SS;I;SS;US;SS_I_US
A634_cold;A634;cold;A634;A634;SS;I;SS;US;SS_I_US
A635_chilling;A635;chilling;A635;A635;SS;I;SS;US;SS_I_US
A641_cold;A641;cold;A641;A641;SS;NA;SS;US;SS_NA_US
A659_chilling;A659;chilling;A659;A659;Broad origin-public;I;NSS;US;NSS_I_US
A661_chilling;A661;chilling;A661;A661;Broad origin-public;I;mix;NA;mix_I_NA
A679_chilling;A679;chilling;A679;A679;SS;I;SS;US;SS_I_US
A680_chilling;A680;chilling;A680;A680;SS;I;SS;US;SS_I_US
B103_cold;B103;cold;B103;B103;NSS;NA;Iodent;US;Iodent_NA_US
B104_chilling;B104;chilling;B104;B104;SS;I;SS;US;SS_I_US
B105_chilling;B105;chilling;B105;B105;SS;I;mix;NA;mix_I_NA
B109_chilling;B109;chilling;B109;B109;SS;I;SS;US;SS_I_US
B10_chilling;B10;chilling;B10;B10;SS;I;SS;US;SS_I_US
B14A_chilling;B14A;chilling;B14A;B14A;SS;I;SS;US;SS_I_US
B37_chilling;B37;chilling;B37;B37;SS;I;SS;US;SS_I_US
B46_chilling;B46;chilling;B46;B46;SS;I;NSS;US;NSS_I_US
B57_chilling;B57;chilling;B57;B57;Broad origin-public;I;NSS;US;NSS_I_US
B64_chilling;B64;chilling;B64;B64;SS;I;SS;US;SS_I_US
B68_chilling;B68;chilling;B68;B68;SS;I;SS;US;SS_I_US
B73_chilling;B73;chilling;B73;B73;SS;I;SS;US;SS_I_US
B75_chilling;B75;chilling;B75;B75;Mixed;I;NSS;US;NSS_I_US
B79_chilling;B79;chilling;B79;B79;Mixed;I;NSS;US;NSS_I_US
B84_cold;B84;cold;B84;B84;SS;I;SS;US;SS_I_US
B95_chilling;B95;chilling;B95;B95;Huangzaosi;NA;NSS;US;NSS_NA_US
B97_cold;B97;cold;B97;B97;NSS;I;NSS;US;NSS_I_US
CH701_30_chilling;CH701-30;chilling;CH701_30;CH70130;Broad origin-public;I;NSS;US;NSS_I_US
CM105_chilling;CM105;chilling;CM105;CM105;SS;I;SS;US;SS_I_US
CM7_chilling;CM7;chilling;CM7;CM7;SS;I;NSS;US;NSS_I_US
CML108_chilling;CML_108;chilling;CML108;CML108;Tropical;I;Tropical;Mexico;Tropical
CML10_chilling;CML10;chilling;CML10;CML10;Tropical;NA;Tropical;Mexico;Tropical
CML11_chilling;CML11;chilling;CML11;CML11;Tropical;NA;Tropical;Mexico;Tropical
CML14_chilling;CML14;chilling;CML14;CML14;Tropical;NA;Tropical;Mexico;Tropical
CML157Q_chilling;CML157Q;chilling;CML157Q;CML157Q;Tropical;NA;Tropical;Mexico;Tropical
CML158Q_chilling;CML158Q;chilling;CML158Q;CML158Q;Tropical;NA;Tropical;Mexico;Tropical
CML220_chilling;CML_220;chilling;CML220;CML220;Tropical;I;Tropical;Mexico;Tropical
CML228_chilling;CML_228;chilling;CML228;CML228;Tropical;I;Tropical;Mexico;Tropical
CML238_chilling;CML238;chilling;CML238;CML238;Tropical;NA;Tropical;Mexico;Tropical
CML247_chilling;CML_247;chilling;CML247;CML247;Tropical;NA;Tropical;Mexico;Tropical
CML254_chilling;CML_254;chilling;CML254;CML254;Tropical;NA;Tropical;Mexico;Tropical
CML261_chilling;CML261;chilling;CML261;CML261;Tropical;NA;Tropical;Mexico;Tropical
CML264_chilling;CML_264;chilling;CML264;CML264;Tropical;NA;Tropical;Mexico;Tropical
CML277_chilling;CML_277;chilling;CML277;CML277;Tropical;NA;Tropical;Mexico;Tropical
CML281_chilling;CML281;chilling;CML281;CML281;Tropical;NA;Tropical;Mexico;Tropical
CML287_chilling;CML_287;chilling;CML287;CML287;Tropical;NA;Tropical;Mexico;Tropical
CML311_chilling;CML311;chilling;CML311;CML311;Tropical;NA;Tropical;Mexico;Tropical
CML314_chilling;CML314;chilling;CML314;CML314;Tropical;NA;Tropical;Mexico;Tropical
CML321_chilling;CML321;chilling;CML321;CML321;Tropical;NA;Tropical;Mexico;Tropical
CML322_chilling;CML_322;chilling;CML322;CML322;Tropical;I;Tropical;Mexico;Tropical
CML328_chilling;CML328;chilling;CML328;CML328;Mixed;NA;Tropical;Mexico;Tropical
CML331_chilling;CML331;chilling;CML331;CML331;Tropical;NA;Tropical;Mexico;Tropical
CML332_chilling;CML332;chilling;CML332;CML332;Tropical;NA;Tropical;Mexico;Tropical
CML333_cold;CML333;cold;CML333;CML333;Tropical;NA;Tropical;Mexico;Tropical
CML38_cold;CML38;cold;CML38;CML38;Tropical;NA;Tropical;Mexico;Tropical
CML45_cold;CML45;cold;CML45;CML45;Tropical;NA;Tropical;Mexico;Tropical
CML52_chilling;CML_52;chilling;CML52;CML52;Tropical;NA;Tropical;Mexico;Tropical
CML69_chilling;CML69;chilling;CML69;CML69;Tropical;NA;Tropical;Mexico;Tropical
CML91_cold;CML_91;cold;CML91;CML91;Tropical;I;Tropical;Mexico;Tropical
CML92_chilling;CML92;chilling;CML92;CML92;Mixed;NA;Tropical;Mexico;Tropical
CMV3_chilling;CMV3;chilling;CMV3;CMV3;NSS;NA;NSS;US;NSS_NA_US
CO106_chilling;CO106;chilling;CO106;CO106;Broad origin-public;I;NSS;US;NSS_I_US
CR14_chilling;CR14;chilling;CR14;CR14;SS;II;SS;US;SS_II_US
DE811_chilling;DE811;chilling;DE811;DE811;SS;I;SS;US;SS_I_US
DJ7_chilling;DJ7;chilling;DJ7;DJ7;SS;II;SS;US;SS_II_US
E8501_cold;E8501;cold;E8501;E8501;NSS;II;NSS;US;NSS_II_US
EP1_chilling;EP1;chilling;EP1;EP1;Sweet corn;;mix;NA;mix__NA
F2834T_control;F2834T;control;F2834T;F2834T;Tropical;;Tropical;Mexico;Tropical
F2_chilling;F2;chilling;F2;F2;Sweet corn;NA;mix;NA;mix_NA_NA
F42_cold;F42;cold;F42;F42;SS;NA;SS;US;SS_NA_US
F7_chilling;F7;chilling;F7;F7;Sweet corn;;mix;NA;mix__NA
FS16094A_chilling;FS16094A;chilling;FS16094A;FS16094A;Polskie;II;NSS;Poland;NSS_II_Poland
GA209_chilling;GA209;chilling;GA209;GA209;NSS;NA;mix;NA;mix_NA_NA
GT112_chilling;GT112;chilling;GT112;GT112;NSS;NA;mix;NA;mix_NA_NA
H114_chilling;H114;chilling;H114;H114;SS;I;SS;US;SS_I_US
H49_chilling;H49;chilling;H49;H49;NSS;I;NSS;US;NSS_I_US
H84_chilling;H84;chilling;H84;H84;SS;I;SS;US;SS_I_US
H95_chilling;H95;chilling;H95;H95;NSS;I;NSS;US;NSS_I_US
HB8229_chilling;HB8229;chilling;HB8229;HB8229;SS;NA;SS;US;SS_NA_US
I29_chilling;I29;chilling;I29;I29;Popcorn;;mix;NA;mix__NA
IBB15_chilling;IBB15;chilling;IBB15;IBB15;IDT;II;Iodent;US;Iodent_II_US
K4_cold;K4;cold;K4;K4;Broad origin-public;I;NSS;US;NSS_I_US
Ki11_chilling;Ki11;chilling;Ki11;Ki11;Tropical;NA;Tropical;Mexico;Tropical
Ki14_cold;Ki14;cold;Ki14;Ki14;Tropical;NA;Tropical;Mexico;Tropical
Ki43_cold;Ki43;cold;Ki43;Ki43;Tropical;NA;Tropical;Mexico;Tropical
Ki44_chilling;Ki44;chilling;Ki44;Ki44;Tropical;NA;Tropical;Mexico;Tropical
Ky21_chilling;Ky21;chilling;Ky21;Ky21;NSS;I;mix;NA;mix_I_NA
Ky226_cold;Ky226;cold;Ky226;Ky226;Mixed;I;mix;NA;mix_I_NA
LH123HT_control;LH123HT;control;LH123HT;LH123HT;NSS;II;NSS;US;NSS_II_US
LH145_control;LH145;control;LH145;LH145;SS;II;SS;US;SS_II_US
LH194_chilling;LH194;chilling;LH194;LH194;SS;II;SS;US;SS_II_US
LH1_chilling;LH1;chilling;LH1;LH1;SS;II;SS;US;SS_II_US
LH208_chilling;LH208;chilling;LH208;LH208;SS;II;SS;US;SS_II_US
LH220Ht_chilling;LH220Ht;chilling;LH220Ht;LH220Ht;SS;II;SS;US;SS_II_US
LH38_chilling;LH38;chilling;LH38;LH38;NSS;II;NSS;US;NSS_II_US
LH39_chilling;LH39;chilling;LH39;LH39;NSS;II;mix;NA;mix_II_NA
LH57_chilling;LH57;chilling;LH57;LH57;NSS;II;NSS;US;NSS_II_US
LP5_chilling;LP5;chilling;LP5;LP5;SS;;SS;US;SS__US
MBPM_chilling;MBPM;chilling;MBPM;MBPM;NSS;II;NSS;US;NSS_II_US
ML606_chilling;ML606;chilling;ML606;ML606;NSS;NA;NSS;US;NSS_NA_US
MO1W_chilling;Mo1W;chilling;MO1W;Mo1W;NSS;I;NSS;US;NSS_I_US
Mo24W_chilling;Mo24W;chilling;Mo24W;Mo24W;Broad origin-public;I;mix;NA;mix_I_NA
Mp339_chilling;Mp339;chilling;Mp339;Mp339;Mixed;;mix;NA;mix__NA
N192_cold;N192;cold;N192;N192;SS;NA;SS;US;SS_NA_US
N28Ht_chilling;N28Ht;chilling;N28Ht;N28Ht;SS;I;mix;NA;mix_I_NA
N6_chilling;N6;chilling;N6;N6;NSS;I;NSS;US;NSS_I_US
NC222_chilling;NC222;chilling;NC222;NC222;Landrace;NA;NSS;US;NSS_NA_US
NC230_chilling;NC230;chilling;NC230;NC230;Mixed;I;NSS;US;NSS_I_US
NC250_chilling;NC250;chilling;NC250;NC250;SS;I;SS;US;SS_I_US
NC260_control;NC260;control;NC260;NC260;Broad origin-public;I;NSS;US;NSS_I_US
NC264_chilling;NC264;chilling;NC264;NC264;Tropical;I;Tropical;Mexico;Tropical
NC290A_chilling;NC290A;chilling;NC290A;NC290A;Popcorn;I;mix;NA;mix_I_NA
NC294_chilling;NC294;chilling;NC294;NC294;SS;I;SS;US;SS_I_US
NC296_chilling;NC296;chilling;NC296;NC296;Tropical;NA;Tropical;Mexico;Tropical
NC310_chilling;NC310;chilling;NC310;NC310;SS;I;SS;US;SS_I_US
NC314_chilling;NC314;chilling;NC314;NC314;SS;NA;SS;US;SS_NA_US
NC326_chilling;NC326;chilling;NC326;NC326;SS;I;SS;US;SS_I_US
NC336_cold;NC336;cold;NC336;NC336;Tropical;NA;Tropical;Mexico;Tropical
NC338_control;NC338;control;NC338;NC338;Tropical;I;Tropical;Mexico;Tropical
NC33_chilling;NC33;chilling;NC33;NC33;NSS;NA;mix;NA;mix_NA_NA
NC340_chilling;NC340;chilling;NC340;NC340;Tropical;I;Tropical;Mexico;Tropical
NC342_chilling;NC342;chilling;NC342;NC342;Mixed;I;NSS;US;NSS_I_US
NC350_chilling;NC350;chilling;NC350;NC350;Tropical;I;Tropical;Mexico;Tropical
NC360_chilling;NC360;chilling;NC360;NC360;Mixed;NA;Tropical;Mexico;Tropical
NC362_chilling;NC362;chilling;NC362;NC362;Popcorn;I;Tropical;Mexico;Tropical
NC366_chilling;NC366;chilling;NC366;NC366;Mixed;NA;Tropical;Mexico;Tropical
NS501_chilling;NS501;chilling;NS501;NS501;IDT;II;mix;NA;mix_II_NA
NS701_chilling;NS701;chilling;NS701;NS701;SS;II;SS;US;SS_II_US
OH7_chilling;Oh7;chilling;OH7;Oh7;Mixed;I;NSS;US;NSS_I_US
Oh40B_chilling;Oh40B;chilling;Oh40B;Oh40B;NSS;I;NSS;US;NSS_I_US
Oh43E_chilling;Oh43E;chilling;Oh43E;Oh43E;NSS;I;NSS;US;NSS_I_US
Oh43_chilling;Oh43;chilling;Oh43;Oh43;NSS;I;NSS;US;NSS_I_US
Oh7B_chilling;Oh7B;chilling;Oh7B;Oh7B;NSS;I;NSS;US;NSS_I_US
PHB47_chilling;PHB47;chilling;PHB47;PHB47;SS;II;SS;US;SS_II_US
PHG35_chilling;PHG35;chilling;PHG35;PHG35;Mixed;II;mix;NA;mix_II_NA
PHG50_chilling;PHG50;chilling;PHG50;PHG50;IDT;II;Iodent;US;Iodent_II_US
PHG71_chilling;PHG71;chilling;PHG71;PHG71;SS;II;Iodent;US;Iodent_II_US
PHG86_cold;PHG86;cold;PHG86;PHG86;Mixed;II;SS;US;SS_II_US
PHJ40_chilling;PHJ40;chilling;PHJ40;PHJ40;SS;II;NSS;US;NSS_II_US
PHT10_chilling;PHT10;chilling;PHT10;PHT10;SS;II;SS;US;SS_II_US
PHT77_chilling;PHT77;chilling;PHT77;PHT77;NSS;II;SS;US;SS_II_US
PHW17_chilling;PHW17;chilling;PHW17;PHW17;SS;II;SS;US;SS_II_US
PHWG5_chilling;PHWG5;chilling;PHWG5;PHWG5;NSS;II;NSS;US;NSS_II_US
Pa762_cold;Pa762;cold;Pa762;Pa762;NSS;I;NSS;US;NSS_I_US
Pa875_chilling;Pa875;chilling;Pa875;Pa875;NSS;NA;mix;NA;mix_NA_NA
Pa880_cold;Pa880;cold;Pa880;Pa880;Mixed;I;NSS;US;NSS_I_US
Pa91_chilling;Pa91;chilling;Pa91;Pa91;NSS;I;NSS;US;NSS_I_US
R229_chilling;R229;chilling;R229;R229;SS;I;SS;US;SS_I_US
S014290_chilling;S014290;chilling;S014290;S014290;Polskie;II;Iodent;Poland;Iodent_II_Poland
S014393_2_chilling;S014393_2;chilling;S014393_2;S0143932;Polskie;II;Iodent;Poland;Iodent_II_Poland
S014393_3_chilling;S014393_3;chilling;S014393_3;S0143933;Polskie;II;Iodent;Poland;Iodent_II_Poland
S019092_1_chilling;S019092_1;chilling;S019092_1;S0190921;Polskie;II;NSS;Poland;NSS_II_Poland
S022237A1_chilling;S022237A1;chilling;S022237A1;S022237A1;Polskie;II;NSS;Poland;NSS_II_Poland
S022588_cold;S022588;cold;S022588;S022588;Polskie;II;NSS;Poland;NSS_II_Poland
S024136_chilling;S024136;chilling;S024136;S024136;Polskie;II;Iodent;Poland;Iodent_II_Poland
S03199_chilling;S03199;chilling;S03199;S03199;Polskie;II;Iodent;Poland;Iodent_II_Poland
S03729A_chilling;S03729A;chilling;S03729A;S03729A;Polskie;II;mix;Poland;mix_II_Poland
S040299A2_chilling;S040299A2;chilling;S040299A2;S040299A2;Polskie;II;Iodent;Poland;Iodent_II_Poland
S040464A_chilling;S040464A;chilling;S040464A;S040464A;Polskie;II;Iodent;Poland;Iodent_II_Poland
S041844_chilling;S041844;chilling;S041844;S041844;Polskie;II;Iodent;Poland;Iodent_II_Poland
S046306_chilling;S046306;chilling;S046306;S046306;Polskie;II;Iodent;Poland;Iodent_II_Poland
S046392_chilling;S046392;chilling;S046392;S046392;Polskie;II;Iodent;Poland;Iodent_II_Poland
S052662_chilling;S052662;chilling;S052662;S052662;Polskie;II;Iodent;Poland;Iodent_II_Poland
S06686_chilling;S06686;chilling;S06686;S06686;Polskie;II;Iodent;Poland;Iodent_II_Poland
S06757_chilling;S06757;chilling;S06757;S06757;Polskie;II;Iodent;Poland;Iodent_II_Poland
S06770_chilling;S06770;chilling;S06770;S06770;Polskie;II;Iodent;Poland;Iodent_II_Poland
S06881A_chilling;S06881A;chilling;S06881A;S06881A;Polskie;II;Iodent;Poland;Iodent_II_Poland
S09347_cold;S09347;cold;S09347;S09347;Polskie;II;NSS;Poland;NSS_II_Poland
S12211_21_chilling;S12211_21;chilling;S12211_21;S1221121;Polskie;II;Iodent;Poland;Iodent_II_Poland
S12371_2_3_chilling;S12371_2_3;chilling;S12371_2_3;S1237123;Polskie;II;Iodent;Poland;Iodent_II_Poland
S12394_chilling;S12394;chilling;S12394;S12394;Polskie;II;mix;Poland;mix_II_Poland
S12402_4_4_chilling;S12402_4_4;chilling;S12402_4_4;S1240244;Polskie;II;Iodent;Poland;Iodent_II_Poland
S12418_chilling;S12418;chilling;S12418;S12418;Polskie;II;Iodent;Poland;Iodent_II_Poland
S12442_chilling;S12442;chilling;S12442;S12442;Polskie;II;mix;Poland;mix_II_Poland
S12544_1_2_2_chilling;S12544_1_2_2;chilling;S12544_1_2_2;S12544122;Polskie;II;Iodent;Poland;Iodent_II_Poland
S12607_cold;S12607;cold;S12607;S12607;Polskie;II;Iodent;Poland;Iodent_II_Poland
S14036_chilling;S14036;chilling;S14036;S14036;Polskie;II;NSS;Poland;NSS_II_Poland
S14068A3_chilling;S14068A3;chilling;S14068A3;S14068A3;Polskie;II;NSS;Poland;NSS_II_Poland
S14189_1_chilling;S14189_1;chilling;S14189_1;S141891;Polskie;II;NSS;Poland;NSS_II_Poland
S14189_2_chilling;S14189_2;chilling;S14189_2;S141892;Polskie;II;NSS;Poland;NSS_II_Poland
S14225_1_chilling;S14225_1;chilling;S14225_1;S142251;Polskie;II;Iodent;Poland;Iodent_II_Poland
S14225_2_control;S14225_2;control;S14225_2;S142252;Polskie;II;Iodent;Poland;Iodent_II_Poland
S14225_3_chilling;S14225_3;chilling;S14225_3;S142253;Polskie;II;Iodent;Poland;Iodent_II_Poland
S14237_chilling;S14237;chilling;S14237;S14237;Polskie;II;Iodent;Poland;Iodent_II_Poland
S15153A_3_chilling;S15153A_3;chilling;S15153A_3;S15153A3;Polskie;II;NSS;Poland;NSS_II_Poland
S152_chilling;S152;chilling;S152;S152;Polskie;I;NSS;Poland;NSS_I_Poland
S160_cold;S160;cold;S160;S160;Polskie;I;mix;Poland;mix_I_Poland
S16410_chilling;S16410;chilling;S16410;S16410;Polskie;II;Iodent;Poland;Iodent_II_Poland
S16445_3_chilling;S16445_3;chilling;S16445_3;S164453;Polskie;II;Iodent;Poland;Iodent_II_Poland
S16448A_chilling;S16448A;chilling;S16448A;S16448A;Polskie;II;Iodent;Poland;Iodent_II_Poland
S16567A_chilling;S16567A;chilling;S16567A;S16567A;Polskie;II;Iodent;Poland;Iodent_II_Poland
S16582A_chilling;S16582A;chilling;S16582A;S16582A;Polskie;II;Iodent;Poland;Iodent_II_Poland
S17030_chilling;S17030;chilling;S17030;S17030;Polskie;II;NSS;Poland;NSS_II_Poland
S17041_chilling;S17041;chilling;S17041;S17041;Polskie;II;NSS;Poland;NSS_II_Poland
S17123_2_chilling;S17123_2;chilling;S17123_2;S171232;Polskie;II;NSS;Poland;NSS_II_Poland
S17134_chilling;S17134;chilling;S17134;S17134;Polskie;II;NSS;Poland;NSS_II_Poland
S17153_1_chilling;S17153_1;chilling;S17153_1;S171531;Polskie;II;NSS;Poland;NSS_II_Poland
S245_chilling;S245;chilling;S245;S245;Polskie;I;Iodent;Poland;Iodent_I_Poland
S284854_chilling;S84854;chilling;S284854;S84854;Polskie;II;Iodent;Poland;Iodent_II_Poland
S299_chilling;S299;chilling;S299;S299;Polskie;I;mix;Poland;mix_I_Poland
S336A_chilling;S336A;chilling;S336A;S336A;Polskie;I;Iodent;Poland;Iodent_I_Poland
S40620_chilling;S40620;chilling;S40620;S40620;Polskie;I;Iodent;Poland;Iodent_I_Poland
S41789_cold;S41789;cold;S41789;S41789;Polskie;I;Iodent;Poland;Iodent_I_Poland
S41796_chilling;S41796;chilling;S41796;S41796;Polskie;I;Iodent;Poland;Iodent_I_Poland
S50676_chilling;S50676;chilling;S50676;S50676;Polskie;I;Iodent;Poland;Iodent_I_Poland
S54555_chilling;S54555;chilling;S54555;S54555;Polskie;I;Iodent;Poland;Iodent_I_Poland
S54793_chilling;S54793;chilling;S54793;S54793;Polskie;I;Iodent;Poland;Iodent_I_Poland
S56125A_chilling;S56125A;chilling;S56125A;S56125A;Polskie;I;Iodent;Poland;Iodent_I_Poland
S63648_chilling;S63648;chilling;S63648;S63648;Polskie;I;Iodent;Poland;Iodent_I_Poland
S64411_chilling;S64411;chilling;S64411;S64411;Polskie;I;Iodent;Poland;Iodent_I_Poland
S64417_chilling;S64417;chilling;S64417;S64417;Polskie;I;Iodent;Poland;Iodent_I_Poland
S64423_2_chilling;S64423_2;chilling;S64423_2;S644232;Polskie;I;Iodent;Poland;Iodent_I_Poland
S64423_3_chilling;S64423_3;chilling;S64423_3;S644233;Polskie;I;Iodent;Poland;Iodent_I_Poland
S67697_chilling;S67697;chilling;S67697;S67697;Polskie;II;Iodent;Poland;Iodent_II_Poland
S68313_chilling;S68312;chilling;S68313;S68312;Polskie;II;Iodent;Poland;Iodent_II_Poland
S68315A_chilling;S68315A;chilling;S68315A;S68315A;Polskie;II;Iodent;Poland;Iodent_II_Poland
S68911_chilling;S68911;chilling;S68911;S68911;Polskie;I;Iodent;Poland;Iodent_I_Poland
S71533_chilling;S71533;chilling;S71533;S71533;Polskie;II;Iodent;Poland;Iodent_II_Poland
S74002_chilling;S74002;chilling;S74002;S74002;Polskie;II;Iodent;Poland;Iodent_II_Poland
S76671_chilling;S76671;chilling;S76671;S76671;Polskie;II;Iodent;Poland;Iodent_II_Poland
S79292_chilling;S79292;chilling;S79292;S79292;Polskie;II;Iodent;Poland;Iodent_II_Poland
S79621_chilling;S79621;chilling;S79621;S79621;Polskie;II;Iodent;Poland;Iodent_II_Poland
S79757_chilling;S79757;chilling;S79757;S79757;Polskie;II;mix;Poland;mix_II_Poland
S80660A_chilling;S80660A;chilling;S80660A;S80660A;Polskie;II;NSS;Poland;NSS_II_Poland
SD44_chilling;SD44;chilling;SD44;SD44;Mixed;I;NSS;US;NSS_I_US
SH0452_119_chilling;SH04_52_119;chilling;SH0452_119;SH0452119;Polskie;II;Iodent;Poland;Iodent_II_Poland
SH12536_3_cold;SH12536_3;cold;SH12536_3;SH125363;Polskie;II;Iodent;Poland;Iodent_II_Poland
SH13225_1_chilling;SH13255_1;chilling;SH13225_1;SH132551;Polskie;II;NSS;Poland;NSS_II_Poland
SH14467_9_chilling;SH14467_9;chilling;SH14467_9;SH144679;Polskie;II;Iodent;Poland;Iodent_II_Poland
SH14710_8_cold;SH147_10_8;cold;SH14710_8;SH147108;Polskie;II;Iodent;Poland;Iodent_II_Poland
SH15405_2_chilling;SH15405_2;chilling;SH15405_2;SH154052;Polskie;II;mix;Poland;mix_II_Poland
SH1708_8_chilling;SH17_08_8;chilling;SH1708_8;SH17088;Polskie;II;Iodent;Poland;Iodent_II_Poland
SH208_12_chilling;SH2_08_12;chilling;SH208_12;SH20812;Polskie;II;Iodent;Poland;Iodent_II_Poland
SH2607_10_chilling;SH26_07_10;chilling;SH2607_10;SH260710;Polskie;II;Iodent;Poland;Iodent_II_Poland
SH2707_22_chilling;SH27_07_22;chilling;SH2707_22;SH270722;Polskie;II;Iodent;Poland;Iodent_II_Poland
SH2707_7_chilling;SH27_07_7;chilling;SH2707_7;SH27077;Polskie;II;Iodent;Poland;Iodent_II_Poland
SH3208_17_chilling;SH32_08_17;chilling;SH3208_17;SH320817;Polskie;II;NSS;Poland;NSS_II_Poland
SH408_52_chilling;SH4_08_52;chilling;SH408_52;SH40852;Polskie;II;Iodent;Poland;Iodent_II_Poland
SR14259_23_chilling;SR14259_23;chilling;SR14259_23;SR1425923;Polskie;II;Iodent;Poland;Iodent_II_Poland
SR15295_9_chilling;SR15295_9;chilling;SR15295_9;SR152959;Polskie;II;Iodent;Poland;Iodent_II_Poland
SR17011_19_cold;SR17011_19;cold;SR17011_19;SR1701119;Polskie;II;NSS;Poland;NSS_II_Poland
SR17327_15_chilling;SR17327_15;chilling;SR17327_15;SR1732715;Polskie;II;Iodent;Poland;Iodent_II_Poland
SR17336_3_chilling;SR17336_3;chilling;SR17336_3;SR173363;Polskie;II;Iodent;Poland;Iodent_II_Poland
SR17363_22_chilling;SR17363_22;chilling;SR17363_22;SR1736322;Polskie;II;Iodent;Poland;Iodent_II_Poland
SR17369_35_chilling;SR17369_35;chilling;SR17369_35;SR1736935;Polskie;II;Iodent;Poland;Iodent_II_Poland
SR7123_chilling;SR7_12_3;chilling;SR7123;SR7123;Polskie;II;Iodent;Poland;Iodent_II_Poland
SR712_18_chilling;SR7_12_18;chilling;SR712_18;SR71218;Polskie;II;Iodent;Poland;Iodent_II_Poland
SR712_21_chilling;SR7_12_21;chilling;SR712_21;SR71221;Polskie;II;Iodent;Poland;Iodent_II_Poland
Tx303_chilling;Tx303;chilling;Tx303;Tx303;Mixed;;Tropical;Mexico;Tropical
Tx601_chilling;Tx601;chilling;Tx601;Tx601;Tropical;NA;Tropical;Mexico;Tropical
Tzi10_cold;Tzi10;cold;Tzi10;Tzi10;Tropical;NA;Tropical;Mexico;Tropical
Tzi8_chilling;Tzi8;chilling;Tzi8;Tzi8;Tropical;NA;Tropical;Mexico;Tropical
UH006_chilling;UH006;chilling;UH006;UH006;NA;NA;NSS;US;NSS_NA_US
UH009_chilling;UH009;chilling;UH009;UH009;NA;NA;NSS;US;NSS_NA_US
UH304_chilling;UH304;chilling;UH304;UH304;SS;NA;Iodent;US;Iodent_NA_US
Va26_control;Va26;control;Va26;Va26;NSS;I;NSS;US;NSS_I_US
W117_chilling;W117;chilling;W117;W117;NSS;NA;NSS;US;NSS_NA_US
W22_chilling;W22;chilling;W22;W22;NSS;I;NSS;US;NSS_I_US
W64A_chilling;W64A;chilling;W64A;W64A;NSS;I;NSS;US;NSS_I_US
WIL901_chilling;WIL901;chilling;WIL901;WIL901;NSS;II;NSS;US;NSS_II_US
