VCFname;ID;taxa;origin;era;heterotic group;subpopulation
B103;B103;B103;US;I;Iodent;Iodent 1
S245;S245;S245;Poland;I;Iodent;Iodent 1
S336A;S336A;S336A;Poland;I;Iodent;Iodent 1
S40620;S40620;S40620;Poland;I;Iodent;Iodent 1
S41789;S41789;S41789;Poland;I;Iodent;Iodent 1
S41796;S41796;S41796;Poland;I;Iodent;Iodent 1
S50676;S50676;S50676;Poland;I;Iodent;Iodent 1
S54555;S54555;S54555;Poland;I;Iodent;Iodent 1
S54793;S54793;S54793;Poland;I;Iodent;Iodent 1
S56125A;S56125A;S56125A;Poland;I;Iodent;Iodent 1
S63648;S63648;S63648;Poland;I;Iodent;Iodent 1
S64411;S64411;S64411;Poland;I;Iodent;Iodent 1
S64417;S64417;S64417;Poland;I;Iodent;Iodent 1
S64423_2;S644232;S64423_2;Poland;I;Iodent;Iodent 1
S64423_3;S644233;S64423_3;Poland;I;Iodent;Iodent 1
S68911;S68911;S68911;Poland;I;Iodent;Iodent 1
UH304;UH304;UH304;US;I;Iodent;Iodent 1
IBB15;IBB15;IBB15;US;II;Iodent;Iodent 2
PHG50;PHG50;PHG50;US;II;Iodent;Iodent 2
PHG71;PHG71;PHG71;US;II;Iodent;Iodent 2
S014290;S014290;S014290;Poland;II;Iodent;Iodent 2
S014393_2;S0143932;S014393_2;Poland;II;Iodent;Iodent 2
S014393_3;S0143933;S014393_3;Poland;II;Iodent;Iodent 2
S024136;S024136;S024136;Poland;II;Iodent;Iodent 2
S03199;S03199;S03199;Poland;II;Iodent;Iodent 2
S040299A2;S040299A2;S040299A2;Poland;II;Iodent;Iodent 2
S040464A;S040464A;S040464A;Poland;II;Iodent;Iodent 2
S041844;S041844;S041844;Poland;II;Iodent;Iodent 2
S046306;S046306;S046306;Poland;II;Iodent;Iodent 2
S046392;S046392;S046392;Poland;II;Iodent;Iodent 2
S052662;S052662;S052662;Poland;II;Iodent;Iodent 2
S06686;S06686;S06686;Poland;II;Iodent;Iodent 2
S06757;S06757;S06757;Poland;II;Iodent;Iodent 2
S06770;S06770;S06770;Poland;II;Iodent;Iodent 2
S06881A;S06881A;S06881A;Poland;II;Iodent;Iodent 2
S12211_21;S1221121;S12211_21;Poland;II;Iodent;Iodent 2
S12371_2_3;S1237123;S12371_2_3;Poland;II;Iodent;Iodent 2
S12402_4_4;S1240244;S12402_4_4;Poland;II;Iodent;Iodent 2
S12418;S12418;S12418;Poland;II;Iodent;Iodent 2
S12544_1_2_2;S12544122;S12544_1_2_2;Poland;II;Iodent;Iodent 2
S12607;S12607;S12607;Poland;II;Iodent;Iodent 2
S14225_1;S142251;S14225_1;Poland;II;Iodent;Iodent 2
S14225_2;S142252;S14225_2;Poland;II;Iodent;Iodent 2
S14225_3;S142253;S14225_3;Poland;II;Iodent;Iodent 2
S14237;S14237;S14237;Poland;II;Iodent;Iodent 2
S16410;S16410;S16410;Poland;II;Iodent;Iodent 2
S16445_3;S164453;S16445_3;Poland;II;Iodent;Iodent 2
S16448A;S16448A;S16448A;Poland;II;Iodent;Iodent 2
S16567A;S16567A;S16567A;Poland;II;Iodent;Iodent 2
S16582A;S16582A;S16582A;Poland;II;Iodent;Iodent 2
S67697;S67697;S67697;Poland;II;Iodent;Iodent 2
S68312;S68312;S68313;Poland;II;Iodent;Iodent 2
S68315A;S68315A;S68315A;Poland;II;Iodent;Iodent 2
S71533;S71533;S71533;Poland;II;Iodent;Iodent 2
S74002;S74002;S74002;Poland;II;Iodent;Iodent 2
S76671;S76671;S76671;Poland;II;Iodent;Iodent 2
S79292;S79292;S79292;Poland;II;Iodent;Iodent 2
S79621;S79621;S79621;Poland;II;Iodent;Iodent 2
S84854;S84854;S284854;Poland;II;Iodent;Iodent 2
SH04_52_119;SH0452119;SH0452_119;Poland;II;Iodent;Iodent 2
SH12536_3;SH125363;SH12536_3;Poland;II;Iodent;Iodent 2
SH14467_9;SH144679;SH14467_9;Poland;II;Iodent;Iodent 2
SH147_10_8;SH147108;SH14710_8;Poland;II;Iodent;Iodent 2
SH17_08_8;SH17088;SH1708_8;Poland;II;Iodent;Iodent 2
SH2_08_12;SH20812;SH208_12;Poland;II;Iodent;Iodent 2
SH26_07_10;SH260710;SH2607_10;Poland;II;Iodent;Iodent 2
SH27_07_22;SH270722;SH2707_22;Poland;II;Iodent;Iodent 2
SH27_07_7;SH27077;SH2707_7;Poland;II;Iodent;Iodent 2
SH4_08_52;SH40852;SH408_52;Poland;II;Iodent;Iodent 2
SR14259_23;SR1425923;SR14259_23;Poland;II;Iodent;Iodent 2
SR15295_9;SR152959;SR15295_9;Poland;II;Iodent;Iodent 2
SR17327_15;SR1732715;SR17327_15;Poland;II;Iodent;Iodent 2
SR17336_3;SR173363;SR17336_3;Poland;II;Iodent;Iodent 2
SR17363_22;SR1736322;SR17363_22;Poland;II;Iodent;Iodent 2
SR17369_35;SR1736935;SR17369_35;Poland;II;Iodent;Iodent 2
SR7_12_18;SR71218;SR712_18;Poland;II;Iodent;Iodent 2
SR7_12_21;SR71221;SR712_21;Poland;II;Iodent;Iodent 2
SR7_12_3;SR7123;SR7123;Poland;II;Iodent;Iodent 2
5A3;K671;K67_1;Mexicana;NA;Mexicana;Mexicana
5B7;K681;K68_1;Mexicana;NA;Mexicana;Mexicana
6B10;MGBCI10;MGB_CI10;Mexicana;NA;Mexicana;Mexicana
6B11;MGBCI11;MGB_CI11;Mexicana;NA;Mexicana;Mexicana
6B2;MGBCI2;MGB_CI2;Mexicana;NA;Mexicana;Mexicana
6B3;MGBCI3;MGB_CI3;Mexicana;NA;Mexicana;Mexicana
6B4;MGBCI4;MGB_CI4;Mexicana;NA;Mexicana;Mexicana
6B5;MGBCI5;MGB_CI5;Mexicana;NA;Mexicana;Mexicana
6B6;MGBCI6;MGB_CI6;Mexicana;NA;Mexicana;Mexicana
6C6;MGBCL18;MGBCL18;Mexicana;NA;Mexicana;Mexicana
6C7;MGBCI19;MGB_CI19;Mexicana;NA;Mexicana;Mexicana
6C8;MGBCI20;MGB_CI20;Mexicana;NA;Mexicana;Mexicana
6C9;MGBCI21;MGB_CI21;Mexicana;NA;Mexicana;Mexicana
A661;A661;A661;NA;NA;Mix;Mix
B105;B105;B105;NA;NA;Mix;Mix
EP1;EP1;EP1;NA;NA;Mix;Mix
F2;F2;F2;NA;NA;Mix;Mix
F7;F7;F7;NA;NA;Mix;Mix
GA209;GA209;GA209;NA;NA;Mix;Mix
GT112;GT112;GT112;NA;NA;Mix;Mix
I29;I29;I29;NA;NA;Mix;Mix
Ky21;Ky21;Ky21;NA;NA;Mix;Mix
Ky226;Ky226;Ky226;NA;NA;Mix;Mix
LH39;LH39;LH39;NA;NA;Mix;Mix
Mo24W;Mo24W;Mo24W;NA;NA;Mix;Mix
Mp339;Mp339;Mp339;NA;NA;Mix;Mix
N28Ht;N28Ht;N28Ht;NA;NA;Mix;Mix
NC290A;NC290A;NC290A;NA;NA;Mix;Mix
NC33;NC33;NC33;NA;NA;Mix;Mix
NS501;NS501;NS501;NA;NA;Mix;Mix
Pa875;Pa875;Pa875;NA;NA;Mix;Mix
PHG35;PHG35;PHG35;NA;NA;Mix;Mix
S03729A;S03729A;S03729A;Poland;NA;Mix;Mix
S12394;S12394;S12394;Poland;NA;Mix;Mix
S12442;S12442;S12442;Poland;NA;Mix;Mix
S160;S160;S160;Poland;NA;Mix;Mix
S299;S299;S299;Poland;NA;Mix;Mix
S79757;S79757;S79757;Poland;NA;Mix;Mix
SH15405_2;SH154052;SH15405_2;Poland;NA;Mix;Mix
78551S;78551S;78551S;US;II;NSS;NSS
A239;A239;A239;US;I;NSS;NSS
A659;A659;A659;US;I;NSS;NSS
B46;B46;B46;US;I;NSS;NSS
B57;B57;B57;US;I;NSS;NSS
B75;B75;B75;US;I;NSS;NSS
B79;B79;B79;US;I;NSS;NSS
B95;B95;B95;US;NA;NSS;NSS
B97;B97;B97;US;I;NSS;NSS
CH701-30;CH70130;CH701_30;US;I;NSS;NSS
CM7;CM7;CM7;US;I;NSS;NSS
CMV3;CMV3;CMV3;US;NA;NSS;NSS
CO106;CO106;CO106;US;I;NSS;NSS
E8501;E8501;E8501;US;II;NSS;NSS
FS16094A;FS16094A;FS16094A;Poland;II;NSS;NSS
H49;H49;H49;US;I;NSS;NSS
H95;H95;H95;US;I;NSS;NSS
K4;K4;K4;US;I;NSS;NSS
LH123HT;LH123HT;LH123HT;US;II;NSS;NSS
LH38;LH38;LH38;US;II;NSS;NSS
LH57;LH57;LH57;US;II;NSS;NSS
MBPM;MBPM;MBPM;US;II;NSS;NSS
ML606;ML606;ML606;US;NA;NSS;NSS
Mo1W;Mo1W;MO1W;US;I;NSS;NSS
N6;N6;N6;US;I;NSS;NSS
NC222;NC222;NC222;US;NA;NSS;NSS
NC230;NC230;NC230;US;I;NSS;NSS
NC260;NC260;NC260;US;I;NSS;NSS
NC342;NC342;NC342;US;I;NSS;NSS
Oh40B;Oh40B;Oh40B;US;I;NSS;NSS
Oh43;Oh43;Oh43;US;I;NSS;NSS
Oh43E;Oh43E;Oh43E;US;I;NSS;NSS
Oh7;Oh7;OH7;US;I;NSS;NSS
Oh7B;Oh7B;Oh7B;US;I;NSS;NSS
Pa762;Pa762;Pa762;US;I;NSS;NSS
Pa880;Pa880;Pa880;US;I;NSS;NSS
Pa91;Pa91;Pa91;US;I;NSS;NSS
PHJ40;PHJ40;PHJ40;US;II;NSS;NSS
PHWG5;PHWG5;PHWG5;US;II;NSS;NSS
S019092_1;S0190921;S019092_1;Poland;II;NSS;NSS
S022237A1;S022237A1;S022237A1;Poland;II;NSS;NSS
S022588;S022588;S022588;Poland;II;NSS;NSS
S09347;S09347;S09347;Poland;II;NSS;NSS
S14036;S14036;S14036;Poland;II;NSS;NSS
S14068A3;S14068A3;S14068A3;Poland;II;NSS;NSS
S14189_1;S141891;S14189_1;Poland;II;NSS;NSS
S14189_2;S141892;S14189_2;Poland;II;NSS;NSS
S15153A_3;S15153A3;S15153A_3;Poland;II;NSS;NSS
S152;S152;S152;Poland;I;NSS;NSS
S17030;S17030;S17030;Poland;II;NSS;NSS
S17041;S17041;S17041;Poland;II;NSS;NSS
S17123_2;S171232;S17123_2;Poland;II;NSS;NSS
S17134;S17134;S17134;Poland;II;NSS;NSS
S17153_1;S171531;S17153_1;Poland;II;NSS;NSS
S80660A;S80660A;S80660A;Poland;II;NSS;NSS
SD44;SD44;SD44;US;I;NSS;NSS
SH13255_1;SH132551;SH13225_1;Poland;II;NSS;NSS
SH32_08_17;SH320817;SH3208_17;Poland;II;NSS;NSS
SR17011_19;SR1701119;SR17011_19;Poland;II;NSS;NSS
UH006;UH006;UH006;US;NA;NSS;NSS
UH009;UH009;UH009;US;NA;NSS;NSS
Va26;Va26;Va26;US;I;NSS;NSS
W117;W117;W117;US;NA;NSS;NSS
W22;W22;W22;US;I;NSS;NSS
W64A;W64A;W64A;US;I;NSS;NSS
WIL901;WIL901;WIL901;US;II;NSS;NSS
5E3;K6716;K67_16;Parviglumis;NA;Parviglumis;Parviglumis
6C10;MGBCI22;MGB_CI22;Parviglumis;NA;Parviglumis;Parviglumis
6C11;MGBCI23;MGB_CI23;Parviglumis;NA;Parviglumis;Parviglumis
6C12;MGBCI25;MGB_CI25;Parviglumis;NA;Parviglumis;Parviglumis
6D1;MGBCI26;MGB_CI26;Parviglumis;NA;Parviglumis;Parviglumis
6D12;MGBCI42;MGB_CI42;Parviglumis;NA;Parviglumis;Parviglumis
6D2;MGBCI27;MGB_CI27;Parviglumis;NA;Parviglumis;Parviglumis
6D3;MGBCI28;MGB_CI28;Parviglumis;NA;Parviglumis;Parviglumis
6D4;MGBCI29;MGB_CI29;Parviglumis;NA;Parviglumis;Parviglumis
6D5;MGBCI30;MGB_CI30;Parviglumis;NA;Parviglumis;Parviglumis
6D8;MGBCI38;MGB_CI38;Parviglumis;NA;Parviglumis;Parviglumis
6D9;MGBCI39;MGB_CI39;Parviglumis;NA;Parviglumis;Parviglumis
A632;A632;A632;US;I;SS;SS 1
A634;A634;A634;US;I;SS;SS 1
A635;A635;A635;US;I;SS;SS 1
A641;A641;A641;US;I;SS;SS 1
A679;A679;A679;US;I;SS;SS 1
A680;A680;A680;US;I;SS;SS 1
B10;B10;B10;US;I;SS;SS 1
B104;B104;B104;US;I;SS;SS 1
B109;B109;B109;US;I;SS;SS 1
B14A;B14A;B14A;US;I;SS;SS 1
B37;B37;B37;US;I;SS;SS 1
B64;B64;B64;US;I;SS;SS 1
B68;B68;B68;US;I;SS;SS 1
B73;B73;B73;US;I;SS;SS 1
B84;B84;B84;US;I;SS;SS 1
CM105;CM105;CM105;US;I;SS;SS 1
DE811;DE811;DE811;US;I;SS;SS 1
DK78004;DK78004;78004;US;I;SS;SS 1
H114;H114;H114;US;I;SS;SS 1
H84;H84;H84;US;I;SS;SS 1
LP5;LP5;LP5;US;I;SS;SS 1
N192;N192;N192;US;I;SS;SS 1
NC250;NC250;NC250;US;I;SS;SS 1
NC294;NC294;NC294;US;I;SS;SS 1
NC310;NC310;NC310;US;I;SS;SS 1
NC314;NC314;NC314;US;I;SS;SS 1
NC326;NC326;NC326;US;I;SS;SS 1
R229;R229;R229;US;I;SS;SS 1
2FACC;2FACC;2FACC;US;II;SS;SS 2
CR14;CR14;CR14;US;II;SS;SS 2
DJ7;DJ7;DJ7;US;II;SS;SS 2
F42;F42;F42;US;II;SS;SS 2
HB8229;HB8229;HB8229;US;II;SS;SS 2
LH1;LH1;LH1;US;II;SS;SS 2
LH145;LH145;LH145;US;II;SS;SS 2
LH194;LH194;LH194;US;II;SS;SS 2
LH208;LH208;LH208;US;II;SS;SS 2
LH220Ht;LH220Ht;LH220Ht;US;II;SS;SS 2
NS701;NS701;NS701;US;II;SS;SS 2
PHB47;PHB47;PHB47;US;II;SS;SS 2
PHG86;PHG86;PHG86;US;II;SS;SS 2
PHT10;PHT10;PHT10;US;II;SS;SS 2
PHT77;PHT77;PHT77;US;II;SS;SS 2
PHW17;PHW17;PHW17;US;II;SS;SS 2
CML_108;CML108;CML108;Mexico;NA;Tropical;Tropical
CML_220;CML220;CML220;Mexico;NA;Tropical;Tropical
CML_228;CML228;CML228;Mexico;NA;Tropical;Tropical
CML_247;CML247;CML247;Mexico;NA;Tropical;Tropical
CML_254;CML254;CML254;Mexico;NA;Tropical;Tropical
CML_264;CML264;CML264;Mexico;NA;Tropical;Tropical
CML_277;CML277;CML277;Mexico;NA;Tropical;Tropical
CML_287;CML287;CML287;Mexico;NA;Tropical;Tropical
CML_322;CML322;CML322;Mexico;NA;Tropical;Tropical
CML_52;CML52;CML52;Mexico;NA;Tropical;Tropical
CML_91;CML91;CML91;Mexico;NA;Tropical;Tropical
CML10;CML10;CML10;Mexico;NA;Tropical;Tropical
CML11;CML11;CML11;Mexico;NA;Tropical;Tropical
CML14;CML14;CML14;Mexico;NA;Tropical;Tropical
CML157Q;CML157Q;CML157Q;Mexico;NA;Tropical;Tropical
CML158Q;CML158Q;CML158Q;Mexico;NA;Tropical;Tropical
CML238;CML238;CML238;Mexico;NA;Tropical;Tropical
CML261;CML261;CML261;Mexico;NA;Tropical;Tropical
CML281;CML281;CML281;Mexico;NA;Tropical;Tropical
CML311;CML311;CML311;Mexico;NA;Tropical;Tropical
CML314;CML314;CML314;Mexico;NA;Tropical;Tropical
CML321;CML321;CML321;Mexico;NA;Tropical;Tropical
CML328;CML328;CML328;Mexico;NA;Tropical;Tropical
CML331;CML331;CML331;Mexico;NA;Tropical;Tropical
CML332;CML332;CML332;Mexico;NA;Tropical;Tropical
CML333;CML333;CML333;Mexico;NA;Tropical;Tropical
CML38;CML38;CML38;Mexico;NA;Tropical;Tropical
CML45;CML45;CML45;Mexico;NA;Tropical;Tropical
CML69;CML69;CML69;Mexico;NA;Tropical;Tropical
CML92;CML92;CML92;Mexico;NA;Tropical;Tropical
F2834T;F2834T;F2834T;Mexico;NA;Tropical;Tropical
Ki11;Ki11;Ki11;Mexico;NA;Tropical;Tropical
Ki14;Ki14;Ki14;Mexico;NA;Tropical;Tropical
Ki43;Ki43;Ki43;Mexico;NA;Tropical;Tropical
Ki44;Ki44;Ki44;Mexico;NA;Tropical;Tropical
NC264;NC264;NC264;Mexico;NA;Tropical;Tropical
NC296;NC296;NC296;Mexico;NA;Tropical;Tropical
NC336;NC336;NC336;Mexico;NA;Tropical;Tropical
NC338;NC338;NC338;Mexico;NA;Tropical;Tropical
NC340;NC340;NC340;Mexico;NA;Tropical;Tropical
NC350;NC350;NC350;Mexico;NA;Tropical;Tropical
NC360;NC360;NC360;Mexico;NA;Tropical;Tropical
NC362;NC362;NC362;Mexico;NA;Tropical;Tropical
NC366;NC366;NC366;Mexico;NA;Tropical;Tropical
Tx303;Tx303;Tx303;Mexico;NA;Tropical;Tropical
Tx601;Tx601;Tx601;Mexico;NA;Tropical;Tropical
Tzi10;Tzi10;Tzi10;Mexico;NA;Tropical;Tropical
Tzi8;Tzi8;Tzi8;Mexico;NA;Tropical;Tropical
