VCFname,group,era,Q,orygin,meta
S024136,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03199,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03199,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03199,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03729A,Polskie,II,mix,Poland,mix_II_Poland
S03729A,Polskie,II,mix,Poland,mix_II_Poland
S040299A2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S040299A2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S040464A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S040464A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S040464A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S041844,Polskie,II,Iodent,Poland,Iodent_II_Poland
S041844,Polskie,II,Iodent,Poland,Iodent_II_Poland
S041844,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046306,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046306,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046306,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046392,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046392,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046392,Polskie,II,Iodent,Poland,Iodent_II_Poland
S052662,Polskie,II,Iodent,Poland,Iodent_II_Poland
S052662,Polskie,II,Iodent,Poland,Iodent_II_Poland
S052662,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06686,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06686,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06686,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06757,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06757,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06757,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06770,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06770,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06770,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06881A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06881A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06881A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S09347,Polskie,II,NSS,Poland,NSS_II_Poland
S09347,Polskie,II,NSS,Poland,NSS_II_Poland
S12211_21,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12211_21,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12211_21,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12371_2_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12371_2_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12394,Polskie,II,mix,Poland,mix_II_Poland
S12394,Polskie,II,mix,Poland,mix_II_Poland
S12394,Polskie,II,mix,Poland,mix_II_Poland
S12402_4_4,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12402_4_4,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12402_4_4,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12418,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12418,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12418,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12442,Polskie,II,mix,Poland,mix_II_Poland
S12442,Polskie,II,mix,Poland,mix_II_Poland
S12544_1_2_2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12544_1_2_2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12607,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12607,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14036,Polskie,II,NSS,Poland,NSS_II_Poland
S14036,Polskie,II,NSS,Poland,NSS_II_Poland
S14068A3,Polskie,II,NSS,Poland,NSS_II_Poland
S14068A3,Polskie,II,NSS,Poland,NSS_II_Poland
S14068A3,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_1,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_1,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_1,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_2,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_2,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_2,Polskie,II,NSS,Poland,NSS_II_Poland
S14225_1,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_1,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_1,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14237,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14237,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14237,Polskie,II,Iodent,Poland,Iodent_II_Poland
S15153A_3,Polskie,II,NSS,Poland,NSS_II_Poland
S15153A_3,Polskie,II,NSS,Poland,NSS_II_Poland
S15153A_3,Polskie,II,NSS,Poland,NSS_II_Poland
S152,Polskie,I,NSS,Poland,NSS_I_Poland
S152,Polskie,I,NSS,Poland,NSS_I_Poland
S152,Polskie,I,NSS,Poland,NSS_I_Poland
S160,Polskie,I,mix,Poland,mix_I_Poland
S160,Polskie,I,mix,Poland,mix_I_Poland
S160,Polskie,I,mix,Poland,mix_I_Poland
S16410,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16410,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16410,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16445_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16445_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16445_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16448A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16448A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16448A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16567A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16567A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16582A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16582A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16582A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S17030,Polskie,II,NSS,Poland,NSS_II_Poland
S17030,Polskie,II,NSS,Poland,NSS_II_Poland
S17030,Polskie,II,NSS,Poland,NSS_II_Poland
S17041,Polskie,II,NSS,Poland,NSS_II_Poland
S17041,Polskie,II,NSS,Poland,NSS_II_Poland
S17041,Polskie,II,NSS,Poland,NSS_II_Poland
S17123_2,Polskie,II,NSS,Poland,NSS_II_Poland
S17123_2,Polskie,II,NSS,Poland,NSS_II_Poland
S17123_2,Polskie,II,NSS,Poland,NSS_II_Poland
S17134,Polskie,II,NSS,Poland,NSS_II_Poland
S17134,Polskie,II,NSS,Poland,NSS_II_Poland
S17134,Polskie,II,NSS,Poland,NSS_II_Poland
S17153_1,Polskie,II,NSS,Poland,NSS_II_Poland
S17153_1,Polskie,II,NSS,Poland,NSS_II_Poland
S17153_1,Polskie,II,NSS,Poland,NSS_II_Poland
S245,Polskie,I,Iodent,Poland,Iodent_I_Poland
S245,Polskie,I,Iodent,Poland,Iodent_I_Poland
S245,Polskie,I,Iodent,Poland,Iodent_I_Poland
S84854,Polskie,II,Iodent,Poland,Iodent_II_Poland
S84854,Polskie,II,Iodent,Poland,Iodent_II_Poland
S84854,Polskie,II,Iodent,Poland,Iodent_II_Poland
S299,Polskie,I,mix,Poland,mix_I_Poland
S299,Polskie,I,mix,Poland,mix_I_Poland
S299,Polskie,I,mix,Poland,mix_I_Poland
S336A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S336A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S336A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S40620,Polskie,I,Iodent,Poland,Iodent_I_Poland
S40620,Polskie,I,Iodent,Poland,Iodent_I_Poland
S40620,Polskie,I,Iodent,Poland,Iodent_I_Poland
S41789,Polskie,I,Iodent,Poland,Iodent_I_Poland
S41796,Polskie,I,Iodent,Poland,Iodent_I_Poland
S41796,Polskie,I,Iodent,Poland,Iodent_I_Poland
S41796,Polskie,I,Iodent,Poland,Iodent_I_Poland
S50676,Polskie,I,Iodent,Poland,Iodent_I_Poland
S50676,Polskie,I,Iodent,Poland,Iodent_I_Poland
S50676,Polskie,I,Iodent,Poland,Iodent_I_Poland
S54555,Polskie,I,Iodent,Poland,Iodent_I_Poland
S54555,Polskie,I,Iodent,Poland,Iodent_I_Poland
S54555,Polskie,I,Iodent,Poland,Iodent_I_Poland
S54793,Polskie,I,Iodent,Poland,Iodent_I_Poland
S54793,Polskie,I,Iodent,Poland,Iodent_I_Poland
S56125A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S56125A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S56125A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S63648,Polskie,I,Iodent,Poland,Iodent_I_Poland
S63648,Polskie,I,Iodent,Poland,Iodent_I_Poland
S63648,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64411,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64411,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64411,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64417,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64417,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64417,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64423_2,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64423_2,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64423_2,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64423_3,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64423_3,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64423_3,Polskie,I,Iodent,Poland,Iodent_I_Poland
S67697,Polskie,II,Iodent,Poland,Iodent_II_Poland
S67697,Polskie,II,Iodent,Poland,Iodent_II_Poland
S67697,Polskie,II,Iodent,Poland,Iodent_II_Poland
S68312,Polskie,II,Iodent,Poland,Iodent_II_Poland
S68312,Polskie,II,Iodent,Poland,Iodent_II_Poland
S68312,Polskie,II,Iodent,Poland,Iodent_II_Poland
S68315A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S68315A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S68315A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S68911,Polskie,I,Iodent,Poland,Iodent_I_Poland
S68911,Polskie,I,Iodent,Poland,Iodent_I_Poland
S68911,Polskie,I,Iodent,Poland,Iodent_I_Poland
S71533,Polskie,II,Iodent,Poland,Iodent_II_Poland
S71533,Polskie,II,Iodent,Poland,Iodent_II_Poland
S71533,Polskie,II,Iodent,Poland,Iodent_II_Poland
S74002,Polskie,II,Iodent,Poland,Iodent_II_Poland
S74002,Polskie,II,Iodent,Poland,Iodent_II_Poland
S74002,Polskie,II,Iodent,Poland,Iodent_II_Poland
S76671,Polskie,II,Iodent,Poland,Iodent_II_Poland
S76671,Polskie,II,Iodent,Poland,Iodent_II_Poland
S76671,Polskie,II,Iodent,Poland,Iodent_II_Poland
S79292,Polskie,II,Iodent,Poland,Iodent_II_Poland
S79292,Polskie,II,Iodent,Poland,Iodent_II_Poland
S79292,Polskie,II,Iodent,Poland,Iodent_II_Poland
S79621,Polskie,II,Iodent,Poland,Iodent_II_Poland
S79621,Polskie,II,Iodent,Poland,Iodent_II_Poland
S79621,Polskie,II,Iodent,Poland,Iodent_II_Poland
S79757,Polskie,II,mix,Poland,mix_II_Poland
S79757,Polskie,II,mix,Poland,mix_II_Poland
S79757,Polskie,II,mix,Poland,mix_II_Poland
S80660A,Polskie,II,NSS,Poland,NSS_II_Poland
S80660A,Polskie,II,NSS,Poland,NSS_II_Poland
S80660A,Polskie,II,NSS,Poland,NSS_II_Poland
SD44,Mixed,I,NSS,US,NSS_I_US
SD44,Mixed,I,NSS,US,NSS_I_US
SD44,Mixed,I,NSS,US,NSS_I_US
SH04_52_119,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH04_52_119,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH04_52_119,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH12536_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH12536_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH13255_1,Polskie,II,NSS,Poland,NSS_II_Poland
SH13255_1,Polskie,II,NSS,Poland,NSS_II_Poland
SH13255_1,Polskie,II,NSS,Poland,NSS_II_Poland
SH14467_9,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH14467_9,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH14467_9,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH147_10_8,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH147_10_8,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH15405_2,Polskie,II,mix,Poland,mix_II_Poland
SH15405_2,Polskie,II,mix,Poland,mix_II_Poland
SH15405_2,Polskie,II,mix,Poland,mix_II_Poland
SH17_08_8,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH17_08_8,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH17_08_8,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH2_08_12,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH2_08_12,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH2_08_12,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH26_07_10,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH26_07_10,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH26_07_10,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH27_07_22,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH27_07_22,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH27_07_22,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH27_07_7,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH27_07_7,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH27_07_7,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH32_08_17,Polskie,II,NSS,Poland,NSS_II_Poland
SH32_08_17,Polskie,II,NSS,Poland,NSS_II_Poland
SH32_08_17,Polskie,II,NSS,Poland,NSS_II_Poland
SH4_08_52,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH4_08_52,Polskie,II,Iodent,Poland,Iodent_II_Poland
SH4_08_52,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR14259_23,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR14259_23,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR14259_23,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR15295_9,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR15295_9,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR15295_9,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17011_19,Polskie,II,NSS,Poland,NSS_II_Poland
SR17011_19,Polskie,II,NSS,Poland,NSS_II_Poland
SR17327_15,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17327_15,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17336_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17336_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17336_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17363_22,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17363_22,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17363_22,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17369_35,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17369_35,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR17369_35,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR7_12_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR7_12_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR7_12_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR7_12_18,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR7_12_18,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR7_12_21,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR7_12_21,Polskie,II,Iodent,Poland,Iodent_II_Poland
SR7_12_21,Polskie,II,Iodent,Poland,Iodent_II_Poland
Tx303,Mixed,,Tropical,Mexico,Tropical
Tx303,Mixed,,Tropical,Mexico,Tropical
Tx303,Mixed,,Tropical,Mexico,Tropical
Tx601,Tropical,NA,Tropical,Mexico,Tropical
Tx601,Tropical,NA,Tropical,Mexico,Tropical
Tzi10,Tropical,NA,Tropical,Mexico,Tropical
Tzi8,Tropical,NA,Tropical,Mexico,Tropical
Tzi8,Tropical,NA,Tropical,Mexico,Tropical
Tzi8,Tropical,NA,Tropical,Mexico,Tropical
UH006,NA,NA,NSS,US,NSS_NA_US
UH006,NA,NA,NSS,US,NSS_NA_US
UH006,NA,NA,NSS,US,NSS_NA_US
UH009,NA,NA,NSS,US,NSS_NA_US
UH009,NA,NA,NSS,US,NSS_NA_US
UH304,SS,NA,Iodent,US,Iodent_NA_US
UH304,SS,NA,Iodent,US,Iodent_NA_US
UH304,SS,NA,Iodent,US,Iodent_NA_US
Va26,NSS,I,NSS,US,NSS_I_US
W117,NSS,NA,NSS,US,NSS_NA_US
W22,NSS,I,NSS,US,NSS_I_US
W22,NSS,I,NSS,US,NSS_I_US
W22,NSS,I,NSS,US,NSS_I_US
W64A,NSS,I,NSS,US,NSS_I_US
W64A,NSS,I,NSS,US,NSS_I_US
WIL901,NSS,II,NSS,US,NSS_II_US
WIL901,NSS,II,NSS,US,NSS_II_US
WIL901,NSS,II,NSS,US,NSS_II_US
